"hours_studied","extracurricular_activities","sleep_hours","physical_activity","exam_score"
19,"No",8,4,61
25,"Yes",6,2,66
9,"Yes",8,3,66
10,"Yes",8,4,65
17,"No",8,4,64
14,"Yes",10,3,60
22,"Yes",6,3,65
12,"Yes",7,4,66
20,"No",8,2,66
11,"Yes",8,3,66
17,"Yes",5,3,63
21,"Yes",6,3,64
13,"No",6,2,65
16,"No",4,3,66
18,"No",4,2,64
16,"No",6,4,63
14,"No",5,3,61
13,"No",6,3,61
21,"Yes",7,3,64
12,"Yes",8,5,63
21,"Yes",6,4,64
21,"Yes",6,2,65
19,"No",7,3,64
16,"Yes",8,3,65
26,"Yes",6,3,64
9,"No",5,3,63
22,"Yes",7,4,64
18,"No",7,3,64
26,"Yes",7,4,66
15,"No",5,2,65
22,"No",8,1,66
19,"Yes",10,3,62
16,"No",7,4,65
20,"Yes",7,4,65
25,"No",7,3,66
18,"Yes",8,3,65
21,"Yes",5,5,64
8,"Yes",7,3,60
19,"Yes",7,2,65
22,"No",6,3,66
17,"Yes",5,3,62
22,"No",6,0,64
21,"No",7,4,64
26,"Yes",8,4,63
22,"No",7,3,62
20,"Yes",6,3,66
19,"No",5,3,64
17,"Yes",8,4,65
18,"Yes",7,3,65
19,"No",5,3,63
8,"Yes",6,2,63
20,"Yes",7,5,66
19,"No",8,3,64
20,"No",7,4,63
13,"No",5,2,65
15,"Yes",7,3,65
12,"No",6,2,64
11,"Yes",8,3,64
20,"No",6,4,66
14,"No",7,3,63
23,"Yes",7,2,66
14,"No",9,3,66
15,"No",9,1,65
13,"No",6,1,65
28,"No",6,3,65
10,"No",8,1,64
22,"No",9,2,65
25,"No",8,5,66
13,"No",6,4,61
23,"No",6,2,65
13,"No",5,4,66
24,"Yes",8,3,65
25,"No",5,4,66
15,"Yes",8,3,66
25,"Yes",6,3,66
15,"Yes",7,3,66
20,"No",8,4,66
24,"No",8,1,65
15,"No",8,4,65
14,"Yes",8,4,64
23,"Yes",9,2,63
24,"Yes",6,5,64
20,"Yes",7,4,63
15,"Yes",4,3,64
11,"Yes",5,4,64
13,"Yes",9,4,61
15,"Yes",6,5,66
23,"Yes",8,4,66
12,"Yes",6,3,64
14,"No",8,3,65
23,"Yes",4,3,66
23,"Yes",8,3,66
24,"No",9,2,62
18,"Yes",5,4,66
17,"No",5,4,66
10,"No",7,4,60
17,"Yes",9,4,66
14,"Yes",6,3,62
16,"No",9,2,62
24,"Yes",8,4,65
21,"No",7,2,64
8,"No",8,3,61
16,"Yes",5,0,63
15,"No",4,6,65
19,"Yes",7,4,66
23,"No",9,2,63
13,"No",7,4,65
16,"No",6,3,64
26,"No",4,3,65
17,"Yes",7,3,66
16,"Yes",5,4,65
25,"Yes",7,4,65
14,"No",6,3,63
1,"Yes",6,3,61
14,"Yes",6,2,65
18,"Yes",8,2,66
13,"Yes",8,3,66
11,"No",6,3,63
17,"No",6,6,65
11,"Yes",5,2,65
27,"No",6,3,65
20,"Yes",6,2,65
23,"Yes",8,2,66
16,"No",7,3,66
20,"Yes",7,4,65
24,"No",7,1,64
13,"Yes",5,1,59
8,"No",7,3,60
19,"No",7,3,62
16,"Yes",5,3,64
19,"Yes",7,3,65
17,"Yes",6,2,65
16,"No",8,3,63
22,"Yes",9,3,66
25,"No",8,3,66
22,"No",8,1,63
25,"Yes",9,3,66
24,"Yes",6,3,65
15,"Yes",8,2,66
24,"Yes",7,3,66
24,"No",6,3,63
20,"Yes",5,4,66
25,"Yes",7,3,64
18,"No",8,3,63
21,"Yes",8,2,66
14,"Yes",9,3,66
20,"Yes",7,2,66
20,"No",6,3,64
16,"Yes",8,1,62
15,"Yes",6,3,65
18,"No",7,3,65
17,"Yes",9,5,66
15,"No",4,3,61
21,"Yes",4,2,65
17,"No",8,3,65
17,"Yes",6,5,65
11,"Yes",7,2,62
12,"Yes",5,2,60
16,"Yes",9,3,61
25,"Yes",8,5,66
19,"No",5,3,64
20,"No",6,1,64
18,"Yes",6,2,65
22,"Yes",6,3,66
15,"Yes",6,4,63
29,"Yes",4,4,66
19,"No",7,5,63
22,"No",7,3,63
20,"Yes",7,4,66
21,"No",8,4,63
20,"No",7,3,62
15,"Yes",7,5,66
21,"Yes",5,4,66
15,"Yes",8,4,64
15,"No",9,3,63
16,"No",8,2,61
7,"Yes",8,2,62
21,"No",9,5,63
15,"No",6,1,61
12,"Yes",6,2,61
17,"Yes",6,4,65
19,"No",6,3,64
16,"Yes",7,3,63
20,"No",7,4,65
14,"No",5,4,63
19,"No",7,3,66
21,"No",7,1,65
13,"No",6,2,66
11,"Yes",7,2,64
22,"No",8,1,66
20,"No",6,3,62
26,"No",5,2,66
14,"Yes",7,3,65
26,"No",7,4,65
9,"No",7,3,62
13,"Yes",5,2,62
