"hours_studied","extracurricular_activities","sleep_hours","physical_activity","exam_score"
24,"Yes",7,4,74
29,"Yes",8,4,71
19,"Yes",6,4,70
19,"Yes",8,3,71
17,"No",6,1,69
23,"Yes",8,5,72
17,"No",8,4,68
17,"Yes",6,2,71
21,"Yes",8,4,70
29,"No",5,1,69
19,"No",6,3,72
22,"Yes",6,2,71
31,"Yes",7,3,69
25,"No",5,3,68
18,"Yes",7,2,70
11,"Yes",9,3,68
17,"Yes",6,3,68
22,"Yes",7,2,68
26,"Yes",5,4,72
18,"Yes",6,4,71
26,"Yes",8,3,68
17,"No",7,5,70
13,"Yes",9,4,68
25,"Yes",8,3,71
28,"Yes",8,2,68
20,"Yes",8,3,69
26,"Yes",4,2,70
22,"No",5,4,69
22,"Yes",7,3,70
29,"Yes",7,3,71
29,"No",4,1,72
4,"Yes",8,4,69
21,"Yes",7,3,68
29,"Yes",4,3,74
15,"No",7,4,70
17,"Yes",7,3,69
17,"No",5,3,71
23,"Yes",7,3,68
16,"Yes",6,4,71
18,"Yes",4,3,69
18,"Yes",4,2,100
11,"No",6,3,68
22,"Yes",7,3,68
15,"No",6,3,69
22,"Yes",6,4,72
31,"No",7,5,76
21,"Yes",7,3,69
20,"Yes",9,3,69
35,"Yes",7,2,79
22,"Yes",6,3,73
27,"Yes",8,5,73
25,"Yes",8,4,70
25,"No",9,3,68
28,"Yes",9,1,71
24,"Yes",8,3,68
33,"Yes",6,4,69
14,"No",7,4,69
17,"No",8,4,69
17,"Yes",8,6,68
18,"Yes",5,3,68
25,"No",9,2,68
21,"No",8,0,71
21,"No",6,2,72
12,"Yes",8,3,68
23,"Yes",8,3,69
22,"Yes",6,3,72
22,"Yes",5,3,71
22,"No",5,3,70
16,"Yes",5,2,68
22,"Yes",8,4,68
16,"Yes",8,2,68
31,"Yes",4,4,72
27,"No",7,4,69
26,"Yes",6,3,69
31,"Yes",9,3,71
19,"No",6,4,70
15,"No",6,4,71
22,"No",9,2,72
22,"No",9,3,68
25,"No",6,3,69
20,"Yes",7,3,71
29,"Yes",9,2,70
36,"Yes",6,2,69
19,"Yes",5,2,69
23,"Yes",8,3,72
25,"No",8,0,71
21,"No",5,4,70
22,"No",5,3,72
21,"Yes",5,2,70
22,"Yes",7,2,71
26,"Yes",5,4,68
26,"Yes",7,3,74
23,"No",4,5,68
43,"Yes",7,1,78
27,"Yes",6,3,74
26,"No",5,2,74
25,"Yes",5,3,69
15,"Yes",10,3,68
19,"No",7,2,89
20,"Yes",7,3,68
34,"Yes",7,3,69
24,"Yes",6,5,75
27,"Yes",7,3,73
20,"No",7,2,68
16,"Yes",8,3,69
16,"Yes",9,2,70
33,"No",7,3,70
24,"No",7,3,69
21,"No",7,2,69
25,"Yes",4,3,68
17,"Yes",8,3,68
31,"No",5,3,71
22,"Yes",6,5,69
33,"No",5,2,68
28,"No",9,4,70
23,"Yes",7,4,69
30,"Yes",5,1,69
29,"Yes",7,3,69
21,"No",7,3,72
18,"Yes",7,3,69
21,"No",4,2,68
30,"No",6,4,69
33,"Yes",10,3,68
22,"Yes",8,5,68
25,"Yes",6,3,70
16,"Yes",7,3,68
28,"Yes",6,3,71
23,"Yes",6,4,69
19,"Yes",6,2,72
27,"No",6,4,70
20,"No",8,4,69
24,"No",7,3,68
22,"Yes",7,3,68
19,"Yes",7,3,70
24,"No",6,6,68
33,"Yes",5,5,69
13,"Yes",7,3,68
27,"Yes",7,2,69
25,"Yes",7,3,70
24,"Yes",8,3,74
24,"Yes",7,0,70
15,"Yes",8,3,69
26,"No",7,3,70
19,"Yes",7,4,68
22,"Yes",6,4,71
21,"No",8,4,73
22,"No",8,4,70
29,"No",6,1,69
20,"Yes",4,2,68
23,"Yes",6,2,68
24,"Yes",6,4,74
18,"Yes",9,2,70
21,"Yes",7,3,68
23,"No",8,3,71
29,"No",7,4,72
26,"Yes",5,2,72
33,"Yes",6,3,68
25,"No",4,3,70
33,"Yes",10,3,72
17,"No",7,4,68
15,"Yes",8,3,68
22,"Yes",8,4,70
31,"Yes",7,3,68
26,"Yes",7,5,72
23,"No",8,3,69
31,"Yes",6,3,75
27,"No",5,2,68
28,"Yes",10,6,75
27,"No",8,4,70
17,"Yes",5,3,86
24,"No",7,4,69
28,"Yes",6,2,73
16,"No",9,4,68
29,"Yes",8,4,70
21,"No",9,2,69
32,"No",8,2,68
31,"Yes",9,4,72
19,"No",8,5,69
24,"No",6,3,70
28,"No",8,3,71
24,"Yes",6,3,70
8,"Yes",8,3,70
29,"No",9,3,72
30,"Yes",8,2,68
19,"Yes",7,4,69
12,"Yes",8,5,68
22,"Yes",7,2,68
17,"No",9,1,71
20,"No",7,3,68
26,"Yes",10,5,73
23,"Yes",7,4,72
15,"Yes",6,4,68
19,"Yes",8,3,71
32,"No",5,3,74
21,"Yes",6,4,72
19,"No",7,2,69
17,"No",7,3,69
28,"Yes",7,1,72
22,"Yes",8,3,69
38,"Yes",7,3,73
27,"No",6,3,69
19,"No",8,4,68
15,"Yes",9,2,68
30,"No",7,1,68
29,"No",6,4,70
29,"Yes",10,4,71
14,"Yes",4,3,70
19,"No",5,4,69
26,"No",6,4,68
31,"Yes",5,2,74
23,"Yes",7,1,70
15,"Yes",8,4,68
20,"No",5,4,69
19,"Yes",8,4,68
15,"Yes",6,2,69
25,"No",8,1,70
23,"Yes",8,3,68
25,"Yes",6,3,75
23,"No",9,5,70
16,"Yes",6,4,70
20,"Yes",7,2,68
22,"Yes",5,3,68
15,"No",7,2,97
20,"No",9,3,70
20,"Yes",6,4,69
17,"No",6,3,68
29,"Yes",10,4,72
5,"Yes",8,3,68
15,"Yes",8,3,71
19,"Yes",5,3,68
27,"No",7,3,73
22,"Yes",6,3,72
18,"Yes",7,4,69
17,"No",6,3,69
17,"Yes",9,2,70
22,"No",7,3,83
17,"No",7,5,68
22,"Yes",9,3,84
32,"Yes",8,3,75
18,"Yes",5,4,69
27,"No",8,4,71
14,"No",7,5,70
18,"Yes",8,4,74
30,"No",8,2,68
22,"Yes",5,1,68
25,"Yes",7,2,71
21,"No",4,3,69
25,"Yes",7,0,71
18,"No",6,2,69
25,"Yes",7,1,69
20,"Yes",7,4,70
17,"Yes",7,3,68
23,"Yes",6,1,68
22,"Yes",7,3,69
26,"Yes",7,2,68
17,"Yes",8,2,70
14,"Yes",7,3,72
17,"No",6,4,69
22,"No",7,3,69
25,"Yes",9,3,70
28,"Yes",4,3,70
31,"No",9,4,70
13,"Yes",6,5,68
29,"No",8,4,72
24,"No",7,2,69
22,"Yes",5,5,72
35,"Yes",6,5,74
24,"No",6,4,68
21,"Yes",6,4,71
31,"No",9,3,68
28,"No",6,3,70
19,"No",6,3,69
27,"Yes",7,3,70
29,"Yes",4,4,72
20,"Yes",7,0,80
12,"Yes",4,3,68
30,"No",9,3,73
18,"Yes",5,2,69
20,"No",7,1,68
27,"No",7,4,68
18,"Yes",4,3,70
35,"Yes",10,2,72
20,"Yes",6,4,68
20,"No",7,4,69
21,"No",5,5,73
19,"No",8,5,69
21,"No",5,2,70
18,"No",6,3,69
29,"No",6,4,70
27,"Yes",9,3,73
18,"Yes",7,3,70
31,"Yes",6,3,72
28,"Yes",4,3,70
24,"Yes",8,1,70
24,"Yes",6,4,72
24,"Yes",5,2,71
24,"No",8,4,70
24,"Yes",7,3,69
22,"Yes",6,3,70
12,"Yes",6,3,70
19,"Yes",8,3,69
24,"Yes",6,2,69
30,"No",8,3,69
19,"Yes",5,4,70
22,"No",6,4,70
21,"Yes",4,3,69
20,"Yes",9,3,69
22,"Yes",8,2,72
21,"No",6,5,70
19,"Yes",7,4,68
20,"Yes",10,3,69
22,"Yes",5,4,72
15,"No",8,4,68
21,"No",7,2,70
14,"Yes",6,3,68
22,"Yes",5,3,69
10,"No",4,5,68
23,"No",9,4,72
26,"No",4,2,70
30,"Yes",9,3,73
26,"Yes",9,6,73
16,"Yes",7,4,69
23,"Yes",9,4,70
16,"Yes",6,3,68
26,"Yes",6,4,70
36,"No",6,2,71
23,"No",6,3,68
24,"Yes",7,2,68
21,"Yes",8,4,68
35,"Yes",7,2,70
31,"No",7,4,70
16,"No",8,4,72
31,"Yes",9,3,70
24,"No",6,2,94
24,"Yes",7,3,69
26,"No",5,2,68
24,"No",8,1,71
11,"No",9,4,69
12,"Yes",6,4,69
26,"Yes",8,3,70
23,"No",8,1,68
21,"Yes",8,5,68
26,"Yes",7,2,72
20,"Yes",8,3,72
20,"No",7,1,72
20,"Yes",4,3,69
26,"Yes",10,3,72
21,"Yes",7,2,69
17,"No",8,3,68
17,"Yes",9,2,69
21,"Yes",6,2,71
17,"Yes",9,2,70
28,"Yes",7,4,68
15,"Yes",10,2,68
19,"No",9,2,70
29,"Yes",6,3,73
26,"No",8,3,71
22,"Yes",8,3,68
25,"No",4,4,70
20,"No",5,2,68
26,"Yes",8,2,71
17,"Yes",10,4,70
28,"Yes",7,3,72
34,"Yes",9,2,69
29,"No",7,3,68
29,"Yes",9,5,70
17,"Yes",6,4,69
17,"No",10,2,68
20,"No",6,3,72
29,"No",8,2,94
14,"Yes",4,3,70
19,"Yes",5,2,69
13,"No",7,4,71
21,"Yes",9,5,68
16,"No",6,4,68
17,"Yes",10,3,68
27,"No",7,4,71
29,"Yes",8,4,71
17,"No",7,4,68
24,"Yes",8,2,68
29,"No",8,3,70
31,"No",8,4,68
16,"No",8,3,69
24,"No",7,2,71
16,"No",7,3,68
20,"Yes",5,2,68
27,"Yes",5,5,70
35,"Yes",5,5,72
31,"Yes",8,4,69
25,"No",8,1,71
23,"Yes",6,2,73
26,"Yes",10,3,68
28,"Yes",7,4,75
24,"Yes",8,3,72
19,"Yes",7,3,68
21,"Yes",6,3,68
27,"Yes",8,4,69
22,"Yes",10,2,70
28,"No",6,2,72
21,"No",6,3,71
20,"No",4,2,72
12,"No",8,1,69
24,"Yes",6,2,71
24,"No",9,2,69
33,"No",8,3,68
21,"No",5,1,68
21,"Yes",8,3,72
29,"Yes",6,3,70
19,"Yes",5,5,73
21,"No",4,2,68
21,"No",6,1,97
21,"No",6,1,70
27,"Yes",5,4,69
17,"Yes",8,3,68
29,"Yes",7,4,68
20,"Yes",6,2,69
31,"Yes",5,3,75
17,"No",6,5,71
17,"Yes",9,3,71
12,"Yes",7,3,68
25,"No",8,3,71
24,"Yes",9,3,68
19,"No",8,4,68
31,"No",7,2,68
16,"No",6,3,71
21,"No",8,4,68
19,"Yes",8,4,69
22,"No",10,2,69
12,"Yes",7,3,71
29,"No",7,1,71
27,"Yes",7,2,70
22,"No",8,3,70
23,"Yes",7,2,73
23,"Yes",8,2,71
23,"Yes",8,0,69
21,"No",4,1,71
24,"Yes",4,2,68
29,"Yes",4,3,71
20,"Yes",8,4,71
25,"No",7,2,68
25,"Yes",7,3,72
20,"Yes",7,2,69
29,"No",7,2,72
19,"No",10,3,69
18,"No",8,3,70
31,"Yes",8,3,75
23,"No",6,3,71
28,"Yes",7,2,75
26,"No",7,2,72
24,"Yes",10,4,69
26,"Yes",7,2,70
28,"Yes",7,2,71
32,"Yes",8,2,71
30,"Yes",6,4,68
20,"No",8,3,68
33,"Yes",10,3,68
30,"No",8,3,69
22,"Yes",8,2,68
17,"No",9,3,71
29,"Yes",7,4,74
11,"Yes",8,4,68
21,"Yes",6,2,68
26,"No",8,4,72
30,"Yes",7,2,74
24,"Yes",7,4,73
29,"Yes",8,4,68
28,"Yes",4,2,73
20,"No",8,2,70
27,"No",7,3,70
23,"Yes",9,3,68
25,"No",7,3,68
27,"Yes",6,3,68
18,"Yes",7,3,69
27,"No",7,2,72
17,"Yes",7,3,70
20,"No",7,3,69
20,"Yes",7,2,69
26,"Yes",9,3,72
17,"Yes",10,3,70
29,"No",5,2,69
25,"Yes",6,3,70
18,"Yes",8,3,69
18,"Yes",7,2,74
22,"Yes",6,4,72
26,"Yes",4,4,75
21,"Yes",7,2,70
24,"Yes",8,4,70
20,"No",8,3,68
22,"Yes",5,2,80
26,"Yes",8,1,69
33,"No",9,4,70
27,"Yes",7,3,68
24,"No",6,3,69
14,"No",6,4,89
31,"No",7,5,92
21,"Yes",10,3,70
25,"No",8,3,68
23,"Yes",9,2,70
22,"Yes",7,3,69
20,"Yes",10,4,69
26,"No",6,3,69
27,"No",8,3,68
24,"Yes",9,4,69
30,"Yes",6,4,72
30,"Yes",5,2,70
23,"No",8,5,71
26,"Yes",7,4,69
27,"Yes",9,2,72
24,"Yes",7,3,71
24,"Yes",5,3,71
28,"No",9,3,74
21,"Yes",7,2,68
30,"No",10,2,69
15,"Yes",6,4,68
18,"No",7,4,70
34,"No",7,4,75
26,"Yes",9,3,72
35,"Yes",6,2,76
28,"Yes",6,2,69
24,"No",10,1,72
25,"Yes",6,4,69
25,"No",8,4,71
21,"Yes",7,3,74
20,"Yes",8,3,68
19,"No",7,3,69
13,"Yes",8,2,69
26,"Yes",9,2,68
23,"No",10,4,68
10,"Yes",6,2,69
23,"No",9,2,71
28,"No",10,4,71
21,"No",7,2,69
21,"Yes",7,4,70
23,"No",8,4,70
16,"Yes",9,4,68
30,"Yes",6,3,71
16,"Yes",6,2,68
18,"Yes",6,2,68
27,"Yes",9,1,69
16,"Yes",5,1,71
33,"No",8,4,75
22,"Yes",5,3,68
24,"No",8,1,72
19,"No",7,3,72
19,"Yes",10,3,69
20,"No",7,3,68
19,"Yes",8,6,70
26,"No",6,3,69
35,"Yes",7,4,73
30,"Yes",8,2,72
30,"No",8,4,69
17,"No",5,4,69
14,"Yes",7,4,68
20,"Yes",7,1,72
21,"No",4,4,68
25,"Yes",9,3,68
30,"Yes",7,2,75
23,"No",7,4,68
19,"Yes",7,2,70
16,"Yes",7,3,69
27,"Yes",6,3,70
27,"Yes",9,2,68
24,"No",8,4,68
27,"Yes",7,2,68
34,"No",8,4,68
18,"No",8,4,69
21,"Yes",4,3,68
19,"No",6,3,70
24,"No",7,4,68
35,"Yes",7,4,68
25,"No",5,2,72
22,"No",7,3,70
16,"Yes",5,4,69
26,"Yes",5,3,69
20,"Yes",6,3,72
27,"Yes",9,4,68
23,"Yes",6,2,70
20,"Yes",6,4,69
28,"No",8,3,72
23,"No",7,4,69
20,"Yes",7,4,68
23,"Yes",10,3,71
20,"Yes",7,2,69
24,"Yes",6,2,68
29,"No",5,3,71
19,"Yes",4,1,69
29,"Yes",8,4,71
18,"No",6,3,72
16,"Yes",8,4,70
23,"Yes",8,4,68
27,"Yes",5,4,74
26,"No",9,2,71
19,"No",6,5,68
9,"Yes",6,2,82
23,"No",5,2,70
25,"No",7,2,72
17,"Yes",9,3,68
21,"Yes",9,1,69
20,"No",7,2,68
19,"Yes",10,3,68
15,"Yes",8,3,70
19,"No",7,3,69
12,"No",6,3,69
29,"Yes",7,3,73
16,"Yes",7,2,69
26,"Yes",7,3,70
16,"Yes",5,5,71
31,"Yes",5,4,70
24,"Yes",6,4,69
33,"Yes",6,3,71
24,"Yes",5,2,73
22,"Yes",6,2,68
28,"Yes",5,3,69
29,"Yes",8,3,76
20,"Yes",5,3,68
32,"No",8,3,69
21,"Yes",10,1,71
21,"No",5,3,69
27,"No",10,2,72
23,"No",7,4,69
27,"Yes",10,3,70
11,"Yes",8,2,68
29,"No",10,4,72
18,"No",8,2,70
28,"No",7,5,75
33,"No",8,3,71
26,"Yes",6,3,69
20,"No",7,3,68
22,"No",4,2,71
29,"Yes",8,2,77
23,"Yes",10,2,70
26,"No",5,3,73
14,"Yes",7,2,71
32,"Yes",8,3,72
22,"No",8,2,72
25,"Yes",7,2,71
25,"Yes",6,2,72
22,"Yes",7,4,68
30,"No",6,3,72
23,"No",6,3,71
24,"No",6,3,70
24,"No",9,3,68
27,"No",9,4,72
12,"No",7,6,69
17,"No",7,1,69
27,"No",4,4,69
20,"Yes",8,3,69
22,"Yes",8,5,73
30,"Yes",7,2,75
21,"Yes",8,3,70
36,"No",8,3,74
25,"No",5,4,74
28,"Yes",8,4,71
24,"Yes",6,3,68
19,"No",8,4,69
13,"No",7,4,71
22,"No",7,4,70
27,"Yes",7,1,71
16,"Yes",6,3,68
19,"No",6,4,72
20,"Yes",4,4,71
23,"Yes",7,3,68
15,"No",7,2,68
30,"Yes",9,4,70
26,"No",8,4,68
28,"Yes",6,5,69
35,"No",6,2,69
21,"Yes",7,1,74
32,"Yes",7,4,72
32,"Yes",7,5,73
27,"No",6,4,73
24,"Yes",7,2,69
25,"Yes",6,6,71
15,"Yes",5,5,69
20,"Yes",10,3,72
19,"Yes",7,4,68
24,"Yes",6,2,68
26,"Yes",8,2,71
19,"Yes",8,2,68
20,"Yes",6,3,71
19,"No",4,2,68
29,"Yes",7,3,70
31,"No",7,3,68
27,"No",8,3,68
23,"Yes",8,4,74
27,"Yes",6,3,101
22,"Yes",5,3,69
19,"Yes",9,2,69
17,"No",8,4,72
30,"Yes",7,4,68
22,"Yes",7,2,70
25,"No",7,4,73
27,"Yes",9,2,73
19,"Yes",6,2,68
15,"Yes",8,3,69
22,"Yes",8,3,68
29,"Yes",10,3,70
24,"Yes",7,2,68
20,"No",4,3,69
23,"Yes",6,2,69
25,"Yes",5,4,70
23,"Yes",9,3,69
10,"Yes",7,2,71
27,"Yes",9,4,68
27,"Yes",6,3,73
14,"Yes",10,3,69
23,"Yes",6,5,70
18,"Yes",5,3,70
15,"No",8,2,69
21,"No",10,2,68
25,"Yes",9,4,71
6,"Yes",7,2,68
32,"Yes",8,4,71
16,"Yes",6,4,68
21,"No",8,2,73
30,"Yes",9,3,88
18,"Yes",7,2,69
19,"No",8,2,68
39,"Yes",9,3,77
15,"Yes",10,5,69
17,"Yes",8,2,69
27,"No",8,3,70
21,"Yes",6,4,73
26,"No",5,3,71
31,"Yes",6,3,71
28,"Yes",8,5,70
16,"No",6,3,69
18,"Yes",4,2,68
14,"Yes",9,3,69
23,"Yes",10,3,71
32,"Yes",6,4,71
28,"Yes",8,2,72
20,"Yes",8,3,70
23,"No",9,2,71
26,"No",9,3,68
27,"Yes",8,4,70
36,"Yes",5,2,70
23,"Yes",7,3,72
18,"Yes",5,4,71
22,"Yes",6,4,74
27,"No",7,3,73
28,"No",5,3,72
28,"Yes",8,3,70
17,"Yes",7,3,68
25,"Yes",8,4,68
18,"No",5,2,70
27,"Yes",7,5,71
29,"Yes",7,4,73
17,"Yes",7,3,72
22,"No",7,0,71
20,"Yes",4,4,72
15,"Yes",7,3,68
13,"No",6,4,68
18,"No",6,3,69
24,"Yes",7,2,68
17,"No",5,4,69
25,"Yes",9,3,70
32,"Yes",8,3,71
14,"Yes",6,2,68
16,"Yes",7,3,70
23,"Yes",8,3,72
24,"Yes",9,3,69
27,"No",6,2,71
22,"Yes",6,3,69
31,"No",7,2,71
27,"No",5,4,73
7,"Yes",9,2,72
22,"Yes",7,2,68
21,"Yes",4,4,69
24,"Yes",7,3,68
23,"Yes",8,2,68
24,"Yes",9,3,68
31,"No",7,3,72
20,"No",8,4,70
18,"No",5,3,69
14,"Yes",8,5,71
26,"Yes",10,1,70
30,"No",7,3,69
19,"No",6,3,68
20,"Yes",9,3,70
27,"Yes",5,3,69
26,"No",7,3,68
16,"Yes",8,4,68
23,"No",7,3,69
28,"Yes",6,4,73
30,"No",8,4,71
30,"Yes",10,4,74
20,"No",6,2,68
19,"No",8,2,69
33,"Yes",7,2,71
21,"Yes",9,3,70
23,"No",6,3,70
20,"Yes",9,3,69
30,"Yes",7,3,70
16,"No",7,3,70
18,"Yes",9,5,71
22,"No",9,3,70
28,"Yes",6,4,70
24,"No",9,2,68
21,"No",5,3,68
15,"Yes",5,3,69
18,"Yes",4,3,71
15,"Yes",8,1,69
26,"Yes",5,2,68
31,"No",8,3,72
20,"Yes",7,3,68
11,"No",5,4,68
22,"No",8,3,70
23,"Yes",10,3,70
25,"Yes",5,4,68
25,"Yes",6,2,69
19,"No",8,2,68
16,"Yes",7,2,68
21,"Yes",4,2,72
23,"No",6,3,69
28,"Yes",7,3,68
21,"Yes",9,3,68
26,"No",6,3,74
22,"No",6,3,69
19,"No",7,5,68
17,"Yes",7,3,70
21,"Yes",9,5,89
28,"Yes",5,2,69
26,"No",6,4,74
26,"Yes",7,5,68
16,"Yes",7,3,68
28,"No",5,1,68
18,"No",7,2,69
22,"No",7,3,71
10,"No",6,2,80
28,"Yes",7,2,74
26,"No",7,3,69
19,"No",8,4,69
18,"Yes",10,3,68
25,"Yes",9,2,73
28,"Yes",6,2,71
30,"Yes",8,3,69
20,"Yes",7,4,74
22,"No",6,2,69
23,"Yes",9,3,69
17,"Yes",6,2,69
19,"No",7,3,73
18,"Yes",6,2,68
23,"Yes",8,1,68
24,"Yes",6,3,69
27,"No",7,4,68
23,"No",9,4,69
21,"Yes",9,3,71
30,"Yes",9,3,72
33,"Yes",7,2,74
23,"Yes",4,4,72
15,"Yes",5,2,70
8,"Yes",6,4,70
24,"Yes",10,2,69
14,"Yes",7,3,70
32,"Yes",7,4,73
14,"No",4,4,69
27,"No",7,4,70
32,"No",10,2,70
23,"Yes",7,3,68
17,"Yes",6,2,68
36,"Yes",8,3,70
27,"Yes",5,3,69
21,"No",9,2,69
18,"No",6,4,68
20,"Yes",6,4,70
28,"No",9,4,68
16,"Yes",7,3,68
16,"Yes",9,5,72
28,"Yes",9,3,70
39,"Yes",10,3,79
26,"Yes",8,1,73
21,"Yes",7,2,68
20,"Yes",9,2,68
22,"Yes",10,2,69
24,"Yes",7,4,74
23,"Yes",5,5,69
19,"Yes",8,2,69
27,"No",6,2,68
24,"Yes",6,3,72
24,"No",6,4,69
21,"No",5,4,70
27,"Yes",9,2,72
26,"No",8,4,69
22,"Yes",9,4,71
12,"Yes",9,2,68
26,"Yes",6,3,75
23,"Yes",7,4,69
24,"No",8,3,68
23,"No",8,2,69
23,"Yes",6,3,73
25,"Yes",5,1,71
25,"Yes",8,3,71
27,"No",6,2,68
24,"No",7,1,70
22,"Yes",10,3,71
26,"No",8,2,69
15,"Yes",8,3,71
19,"Yes",9,3,69
16,"Yes",5,5,71
